ponto,x,y,z,ref
02,1500.000,500.000,0.000,EST02
101,1522.721,553.537,-17.133,ESTRADA
102,1501.728,584.147,-18.337,ESTRADA
103,1524.213,550.470,-17.115,ESTRADA
104,1528.980,540.122,-16.244,ESTRADA
105,1534.842,518.211,-14.947,ESTRADA
106,1533.511,487.775,-14.242,ESTRADA
107,1534.036,474.476,-14.087,ESTRADA
108,1538.901,463.347,-15.082,ESTRADA
109,1556.112,422.384,-14.316,ESTRADA
110,1567.831,406.656,-15.094,ESTRADA
111,1573.865,397.190,-15.642,ESTRADA
112,1561.513,402.073,-14.389,ESTRADA
113,1556.323,407.366,-14.311,ESTRADA
114,1551.962,417.592,-14.178,ESTRADA
115,1533.474,459.295,-13.974,ESTRADA
116,1529.285,473.894,-14.064,ESTRADA
118,1529.839,500.752,-14.441,ESTRADA
119,1527.644,527.957,-15.159,ESTRADA
121,1522.895,542.592,-16.838,ESTRADA
122,1502.643,570.403,-18.518,ESTRADA
123,1494.298,586.805,-18.762,ESTRADA
124,1494.778,577.687,-17.632,MURO
125,1496.308,573.029,-17.667,MURO
126,1497.605,569.222,-16.866,CERCA
127,1507.693,556.812,-15.372,CERCA
128,1522.019,538.333,-13.158,CERCA
129,1526.853,523.697,-12.577,CERCA
130,1527.199,512.438,-12.098,CERCA
131,1526.901,494.403,-12.050,CERCA
132,1526.589,476.175,-12.148,CERCA
133,1529.368,461.898,-12.364,CERCA
134,1538.884,441.325,-12.202,CERCA
135,1515.816,436.516,-7.556,CERCA
136,1499.775,432.919,-6.638,CERCA
137,1505.121,436.741,-7.552,RUA
138,1500.482,451.049,-3.268,RUA
139,1486.955,473.766,-0.201,RUA
140,1485.235,483.449,0.198,RUA
141,1483.354,486.899,0.595,RUA
142,1483.122,484.603,0.921,RUA
143,1483.107,474.027,2.936,RUA
144,1478.958,462.200,4.564,RUA
145,1468.744,454.546,7.249,RUA
146,1449.338,445.476,12.287,RUA
147,1435.676,440.722,15.518,RUA
148,1434.314,444.672,15.710,RUA
149,1451.091,450.354,11.410,RUA
150,1466.002,457.590,7.583,RUA
151,1474.661,464.533,4.963,RUA
152,1478.909,474.135,3.050,RUA
153,1478.082,489.824,0.658,RUA
154,1471.914,501.159,0.491,RUA
155,1461.946,509.331,0.505,RUA
156,1450.168,515.039,0.544,RUA
157,1441.323,517.122,0.085,RUA
158,1437.804,521.970,-0.200,RUA
159,1446.879,522.340,0.332,RUA
160,1457.285,520.623,0.474,RUA
161,1466.235,516.027,0.484,RUA
162,1475.776,508.156,0.393,RUA
163,1482.821,499.441,0.207,RUA
164,1489.462,488.303,0.137,RUA
165,1485.740,468.943,2.013,LOTE
166,1483.121,463.636,2.944,LOTE
167,1471.722,453.361,6.126,LOTE
168,1457.109,447.551,10.080,LOTE
169,1445.443,443.013,13.190,LOTE
170,1441.254,450.244,14.278,LOTE
171,1435.668,469.947,14.799,LOTE
172,1430.033,488.410,11.540,LOTE
173,1443.132,514.019,3.645,CRISTA
174,1452.723,509.130,4.923,CRISTA
175,1462.690,503.368,5.163,CRISTA
176,1469.495,497.216,4.992,CRISTA
177,1475.764,487.277,4.115,CRISTA
178,1477.465,476.973,4.689,CRISTA
179,1475.090,467.817,5.574,CRISTA
180,1467.279,458.952,7.563,CRISTA
181,1453.454,451.915,11.032,CRISTA
182,1425.445,450.590,18.163,CRISTA
183,1431.207,437.655,16.575,CRISTA
184,1439.673,414.435,12.382,LOTE
185,1448.360,391.287,11.733,LOTE
186,1426.432,388.478,17.463,LOTE
187,1423.022,397.239,17.704,LOTE
188,1457.733,392.200,9.712,LOTE
189,1468.139,393.475,6.166,LOTE
190,1474.636,394.924,4.046,LOTE
191,1484.309,395.983,1.770,LOTE
192,1492.077,397.125,-0.154,LOTE
193,1503.267,398.956,-4.696,LOTE
194,1499.658,414.629,-4.964,CRISTA
195,1501.506,415.277,-6.323,ALAMBRADO
196,1497.081,433.852,-4.049,CRISTA
197,1543.022,432.865,-12.110,CERCA
198,1544.900,426.417,-11.817,CERCA
199,1546.441,418.014,-11.980,CERCA
200,1544.723,416.652,-11.669,CERCA
201,1535.296,407.996,-10.884,CERCA
202,1535.461,403.410,-11.080,CERCA
203,1551.614,400.340,-13.966,CERCA
204,1557.240,400.698,-14.034,CERCA
205,1495.255,482.755,0.053,CRISTA
206,1498.583,493.167,-0.054,CRISTA
207,1498.565,506.128,-0.097,CRISTA
208,1491.358,519.043,0.063,CRISTA
209,1483.752,525.059,0.142,CRISTA
210,1474.586,530.289,0.468,CRISTA
211,1466.082,534.441,0.302,CRISTA
212,1455.982,534.734,0.237,CRISTA
213,1450.967,530.512,0.479,CRISTA
10,1454.665,532.707,0.553,AUX
215,1441.038,524.730,0.315,CRISTA
216,1429.568,520.646,-0.977,CRISTA
217,1420.090,518.121,-3.165,RUA
218,1402.403,516.357,-6.396,RUA
219,1398.470,517.970,-6.825,RUA
220,1400.381,521.977,-7.668,RUA
221,1406.369,519.933,-7.458,RUA
222,1413.429,522.473,-7.621,RUA
223,1420.359,528.756,-8.328,RUA
224,1435.980,548.626,-10.982,RUA
225,1445.694,561.656,-12.776,RUA
226,1459.319,574.042,-14.193,RUA
227,1474.302,579.670,-15.844,RUA
228,1489.867,574.387,-17.043,RUA
229,1491.497,577.189,-17.141,RUA
230,1479.683,593.232,-17.371,CERCA
231,1466.818,581.382,-15.432,RUA
232,1460.268,586.359,-15.847,CERCA
233,1455.870,575.099,-14.274,RUA
234,1447.243,581.275,-14.768,CERCA
235,1448.691,569.740,-13.397,RUA
236,1440.860,559.912,-12.345,RUA
237,1427.924,573.900,-12.828,CERCA
238,1432.348,549.170,-9.898,RUA
239,1402.420,564.125,-11.817,CERCA
240,1422.342,536.397,-9.305,RUA
241,1417.221,529.195,-8.507,RUA
242,1410.457,524.596,-7.921,RUA
243,1404.466,525.014,-7.741,RUA
244,1397.646,525.801,-7.708,RUA
245,1391.715,521.152,-7.368,RUA
246,1390.971,515.617,-6.516,RUA
247,1392.480,510.742,-5.632,RUA
248,1397.717,509.847,-5.863,RUA
249,1404.431,511.439,-5.828,RUA
250,1416.199,513.466,-4.082,RUA
251,1422.079,514.409,-2.684,RUA
252,1391.196,559.606,-11.098,CERCA
253,1384.648,556.852,-10.480,CERCA
254,1372.938,552.494,-11.549,CERCA
255,1354.731,544.591,-9.055,CERCA
256,1359.988,538.838,-8.233,CRISTA
257,1358.473,534.298,-8.022,CRISTA
258,1354.971,532.581,-8.450,CRISTA
259,1346.411,514.800,-5.423,LOTE
260,1366.080,522.390,-6.850,LOTE
261,1392.569,533.006,-8.952,LOTE
262,1388.585,512.339,-5.673,LOTE
263,1351.126,496.075,-1.607,LOTE
264,1366.576,502.372,-3.309,LOTE
265,1393.373,508.930,-4.926,CRISTA
267,1397.911,507.495,-3.642,CRISTA
268,1407.394,510.236,-3.316,CRISTA
269,1417.977,512.014,-0.695,CRISTA
270,1435.972,514.609,2.514,CRISTA
01,1499.999,590.315,-18.204,EST
271,1494.875,597.474,-18.180,ESTRADA
272,1489.460,615.240,-18.710,ESTRADA
273,1484.577,630.106,-19.061,ESTRADA
274,1481.949,641.382,-19.170,ESTRADA
275,1475.878,643.739,-19.275,ESTRADA
